name,ring,quadrant,isNew,description
Apache AirFlow,Trial,data management,FALSE,
Apache Ignite,Trial,data management,FALSE,
Apache Impala,Adopt,data management,FALSE,
Apache Presto,Adopt,data management,FALSE,
Apache Sqoop,Adopt,data management,FALSE,
Clickhouse,Assess,data management,FALSE,
Cloudera CDH,Adopt,data management,FALSE,
Greenplum,Adopt,data management,FALSE,
Hadoop,Adopt,data management,FALSE,
IBM DB2 Universal Database,Hold,data management,FALSE,
Informatica DEI,Adopt,data management,FALSE,
MicroStrategy,Adopt,data management,FALSE,
PySpark,Trial,data management,FALSE,
Qlik Sense Enterprise,Adopt,data management,FALSE,
QlikSense Desktop,Adopt,data management,FALSE,
QlikView,Adopt,data management,FALSE,
SAP BusinessObjects,Trial,data management,FALSE,
SAP Hana,Adopt,data management,FALSE,
Teradata Aster Analytics,Adopt,data management,FALSE,
Teradata Query Grid,Adopt,data management,FALSE,
Alteryx Designer,Adopt,platforms & infrastructure,FALSE,
Apache Flume,Trial,platforms & infrastructure,FALSE,
Apache Kafka,Trial,platforms & infrastructure,FALSE,
Apache Spark,Adopt,framework & tools,FALSE,
Python,Adopt,languages,FALSE,
