name,ring,quadrant,isNew,description
3NF,Adopt,techniques,FALSE,
ETL/ELT,Adopt,techniques,FALSE,
MPP,Adopt,techniques,FALSE,
Data Warehouse,Adopt,techniques,FALSE,
Data Lake,Adopt,techniques,FALSE,
Data Vault,Adopt,techniques,FALSE,
DataOps,Adopt,techniques,FALSE,
Data Governance,Adopt,techniques,FALSE,
Business Glossary,Adopt,techniques,FALSE,
Data lineage,Adopt,techniques,FALSE,
Data Catalog,Adopt,techniques,FALSE,
Azure Cloud,Adopt,platforms & infrastructure,FALSE,
Amazon Web Services,Trial,platforms & infrastructure,FALSE,
Teradata,Adopt,data management,FALSE,
Oracle Exadata,Adopt,data management,FALSE,
MSSQL,Adopt,data management,FALSE,
PostgreSQL,Adopt,data management,FALSE,
Hadoop,Adopt,data management,FALSE,
S3,Adopt,data management,FALSE,
Redshift,Adopt,data management,FALSE,
Python,Adopt,languages & tools,FALSE,
SQL,Adopt,languages & tools,FALSE,
Informatica PC / DEI,Adopt,languages & tools,FALSE,
GoldenGate,Adopt,languages & tools,FALSE,
SAP PowerDesigner,Adopt,languages & tools,FALSE,
Gitlab CI\CD,Adopt,languages & tools,FALSE,
