name,ring,quadrant,isNew,description
Elasticsearch,Adopt,data management,FALSE,
MySQL,Adopt,data management,FALSE,
PostgreSQL,Adopt,data management,FALSE,
gRPC,Adopt,data management,FALSE,
Tarantool Data Grid,Trial,data management,TRUE,
Vue.js,Adopt,frameworks & libraries,FALSE,
Nuxt.js,Trial,frameworks & libraries,FALSE,
Ant Design,Assess,frameworks & libraries,TRUE,
Symfony,Adopt,frameworks & libraries,FALSE,
Krakend,Adopt,frameworks & libraries,FALSE,
Golang,Adopt,languages,FALSE,
PHP,Adopt,languages,FALSE,
Typescript,Trial,languages,TRUE,
Javascript,Adopt,languages,FALSE,
Swift,Adopt,languages,TRUE,
Kotlin,Adopt,languages,TRUE,
HAProxy,Adopt,platform & infrastructure,FALSE,
Kafka,Trial,platform & infrastructure,FALSE,
KeepAliveD,Adopt,platform & infrastructure,FALSE,
Kibana,Adopt,platform & infrastructure,FALSE,
Docker,Trial,platform & infrastructure,FALSE,
Logstash,Adopt,platform & infrastructure,FALSE,
Nginx,Adopt,platform & infrastructure,FALSE,
Consul,Adopt,platform & infrastructure,FALSE,
RabbitMQ,Adopt,platform & infrastructure,FALSE,
Grafana,Adopt,platform & infrastructure,FALSE,
Prometheus,Adopt,platform & infrastructure,FALSE,
NATS,Trial,platform & infrastructure,FALSE,
Sentry,Trial,platform & infrastructure,TRUE,
AppDynamics,Trial,platform & infrastructure,FALSE,
Memcached,Adopt,data management,FALSE,
Redis,Assess,data management,FALSE,
