name,ring,quadrant,isNew,description
Golang,Adopt,languages,FALSE,
Python,Adopt,languages,FALSE,
Kotlin,Adopt,languages,FALSE,
Swift,Adopt,languages,FALSE,
Elastic,Adopt,data management,FALSE,
PostgreSQL,Adopt,data management,FALSE,
Redis,Adopt,data management,FALSE,
RabbitMQ,Adopt,data management,FALSE,
google wire,Adopt,frameworks & libraries,FALSE,
sqlalchemy,Adopt,frameworks & libraries,FALSE,
FastAPI,Adopt,frameworks & libraries,FALSE,
Pydantic,Adopt,frameworks & libraries,FALSE,
OpenAPI,Adopt,frameworks & libraries,FALSE,
oapi-codegen,Adopt,frameworks & libraries,FALSE,
echo,Adopt,frameworks & libraries,FALSE,
Terragrunt,Adopt,platform & infrastructure,FALSE,
Helm,Adopt,platform & infrastructure,FALSE,
Grafana,Adopt,platform & infrastructure,FALSE,
Prometheus,Adopt,platform & infrastructure,FALSE,
Jaeger,Adopt,platform & infrastructure,FALSE,
Loki,Adopt,platform & infrastructure,FALSE,
k8s,Adopt,platform & infrastructure,FALSE,
flux2,Adopt,platform & infrastructure,FALSE,
victoria metrics,Adopt,platform & infrastructure,FALSE,
Hashicorp Vault,Adopt,platform & infrastructure,FALSE,
Hashicorp Consul,Adopt,platform & infrastructure,FALSE,
Keycloak,Adopt,platform & infrastructure,FALSE,
YandexCloud,Adopt,platform & infrastructure,FALSE,
Nginx,Adopt,platform & infrastructure,FALSE,
Sentry,Trial,platform & infrastructure,FALSE,
Android SDK,Adopt,frameworks & libraries,FALSE,
Firebase,Adopt,platform & infrastructure,FALSE,
Google MS,Adopt,platform & infrastructure,FALSE,
Huawey MS,Adopt,platform & infrastructure,FALSE,
Room,Assess,data management,FALSE,
